"Jack Number ","Type ","Status ","Room Number ","Name ","Phone Extension ","Floor"
"R-229-2-001 ","White ","Inactive ",216,"MDF Room phone jack ",,"Second"
"R-229-2-002 ","Blue ","Inactive ",200,"Unkown",,"Second"
"R-229-2-003 ","Red ","Inactive ",200,"Unknown",,"Second"
"R-229-2-004 ","Blue ","Active ",218,"Copy room ",,"Second"
"R-229-2-005 ","Blue ","Active ",218,"Copy room ",,"Second"
"R-229-2-006 ","White ","Inactive ",218,"Copy room ",,"Second"
"R-229-2-007 ","Blue ","Active ",219,"Facilities manager "," ","Second"
"R-229-2-008 ","Blue ","Active ",219,"Facilities manager "," ","Second"
"R-229-2-009 ","White ","Active ",219,"Facilities manager ",1948,"Second"
"R-229-2-010 ","Blue ","Inactive ",220,"[Not wired in room] ",,"Second"
"R-229-2-011 ","Blue ","Inactive ",220,"[Not wired in room] ",,"Second"
"R-229-2-012 ","White ","Inactive ",220,"[Not wired in room] ",,"Second"
"R-229-2-013 ","Blue ","Inactive ",210,"Kitchen ",,"Second"
"R-229-2-014 ","Blue ","Inactive ",210,"Kitchen ",,"Second"
"R-229-2-015 ","White ","Active ",210,"Kitchen phone (analog line doesn't work) ",1972,"Second"
"R-229-2-016 ","Green ","Inactive ",210,"Break room wall ",,"Second"
"R-229-2-017 ","Blue ","Inactive ",200,"Unknown",,"Second"
"R-229-2-018 ","Red ","Active ",200,"Unknown",,"Second"
"R-229-2-019 ","Blue ","Inactive ",221,"Systems and Digital Collections Librarian ",,"Second"
"R-229-2-020 ","Blue ","Active ",221,"Systems and Digital Collections Librarian ",,"Second"
"R-229-2-021 ","White ","Active ",221,"Systems and Digital Collections Librarian ",1960,"Second"
"R-229-2-022 ","Blue ","Inactive ",222,"Conference room ",,"Second"
"R-229-2-023 ","Blue ","Inactive ",222,"Conference room ",,"Second"
"R-229-2-024 ","White ","Inactive ",222,"Conference room ",,"Second"
"R-229-2-025 ","Green ","Inactive ",222,"Conference room ",,"Second"
"R-229-2-026 ","Blue ","Inactive ",222,"Conference room ",,"Second"
"R-229-2-027 ","Blue ","Inactive ",222,"Conference room ",,"Second"
"R-229-2-028 ","White ","Inactive ",222,"Conference room ",,"Second"
"R-229-2-029 ","Green ","Inactive ",223,"Video lab ",,"Second"
"R-229-2-030 ","Blue ","Inactive ",223,"Video lab ",,"Second"
"R-229-2-031 ","Blue ","Inactive ",223,"Video lab ",,"Second"
"R-229-2-032 ","White ","Inactive ",223,"Video lab ",,"Second"
"R-229-2-033 ","Blue ","Inactive ",223,"Video lab ",,"Second"
"R-229-2-034 ","Blue ","Active ",223,"Video lab ",,"Second"
"R-229-2-035 ","White ","Active ",223,"Video lab ",1958,"Second"
"R-229-2-036 ","Blue ","Inactive ",224,"Audio lab ",,"Second"
"R-229-2-037 ","Blue ","Inactive ",224,"Audio lab ",,"Second"
"R-229-2-038 ","White ","Inactive ",224,"Audio lab, phone ","Inactive ","Second"
"R-229-2-039 ","Blue ","Inactive ",224,"Audio lab ",,"Second"
"R-229-2-040 ","Blue ","Inactive ",224,"Audio lab ",,"Second"
"R-229-2-041 ","White ","Inactive ",224,"Audio lab ",,"Second"
"R-229-2-042 ","Blue ","Inactive ",224,"Audio lab ",,"Second"
"R-229-2-043 ","Blue ","Inactive ",224,"Audio lab ",,"Second"
"R-229-2-044 ","White ","Inactive ",224,"Audio lab ",,"Second"
"R-229-2-045 ","Blue ","Inactive ",200,"Unknown",,"Second"
"R-229-2-046 ","Red ","Inactive ",200,"Unknown",,"Second"
"R-229-2-047 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-048 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-049 ","White ","Inactive ",213,"Processing room ",,"Second"
"R-229-2-050 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-051 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-052 ","White ","Inactive ",213,"Processing room ",,"Second"
"R-229-2-053 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-054 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-055 ","White ","Active ",213,"Processing room ",1957,"Second"
"R-229-2-056 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-057 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-058 ","White ","Inactive ",213,"Processing room ",,"Second"
"R-229-2-059 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-060 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-061 ","White ","Inactive ",213,"Processing room ",,"Second"
"R-229-2-062 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-063 ","Blue ","Active ",213,"Processing room ",,"Second"
"R-229-2-064 ","White ","Inactive ",213,"Processing room ",,"Second"
"R-229-2-065 ","Blue ","Inactive ",200,"Unknown",,"Second"
"R-229-2-066 ","Red ","Inactive ",200,"Unknown",,"Second"
"R-229-2-067 ","Blue ","Inactive ",214,"Archive supply ",,"Second"
"R-229-2-068 ","Blue ","Inactive ",214,"Archive supply ",,"Second"
"R-229-2-069 ","White ","Inactive ",214,"Archive supply ",,"Second"
"R-229-2-070 ","Blue ","Inactive ",225,"Archives ",,"Second"
"R-229-2-071 ","Blue ","Inactive ",225,"Archives "," ","Second"
"R-229-2-072 ","White ","Inactive ",225,"Archives ",,"Second"
"R-229-2-073 ","Blue ","Inactive ",225,"Archives ",,"Second"
"R-229-2-074 ","Blue ","Inactive ",225,"Archives ",,"Second"
"R-229-2-075 ","White ","Inactive ",225,"Archives ",,"Second"
"R-229-2-076 ","Blue ","Inactive ",200,"Unknown",,"Second"
"R-229-2-077 ","Red ","Inactive ",200,"Unknown",,"Second"
"R-229-2-078 ","Blue ","Inactive ",222,"Conference room foor ",,"Second"
"R-229-2-079 ","Blue ","Active ",222,"Conference room foor ",,"Second"
"R-229-2-080 ","White ","Active ",222,"Conference room foor ",1993,"Second"
"R-229-3-081 ","Blue ","Inactive ",317,"Archives ",,"Third"
"R-229-3-082 ","Blue ","Inactive ",317,"Archives ",,"Third"
